Person_ID,Month,Category,Type,Budgeted_Amount,Actual_Amount
P004,June,Rent,Fixed,20000,20000.0
P004,June,Groceries,Random,4565,4138.68
P004,June,Freelance,Variable,2023,2188.18
P004,June,Utilities,Variable,1425,1323.8
P004,June,Entertainment,Variable,1971,1950.42
P005,January,Salary,Fixed,40000,40000.0
P005,January,Rent,Fixed,20000,20000.0
P005,January,Groceries,Random,4709,4466.07
P005,January,Freelance,Variable,2123,1945.03
P005,January,Utilities,Variable,1483,1405.18
P005,January,Entertainment,Variable,2054,2178.53
P005,February,Salary,Fixed,40000,40000.0
P005,February,Rent,Fixed,20000,20000.0
P005,February,Groceries,Random,4836,4963.97
P005,February,Freelance,Variable,1997,1956.59
P005,February,Utilities,Variable,1539,1630.83
P005,February,Entertainment,Variable,2000,1928.31
P005,March,Salary,Fixed,40000,40000.0
P005,March,Rent,Fixed,20000,20000.0
P005,March,Groceries,Random,4325,4494.38
P005,March,Freelance,Variable,2058,2095.41
P005,March,Utilities,Variable,1645,1648.98
P005,March,Entertainment,Variable,1946,1887.1
P005,April,Salary,Fixed,40000,40000.0
P005,April,Rent,Fixed,20000,20000.0
P005,April,Groceries,Random,4710,4403.25
P005,April,Freelance,Variable,1927,1933.84
P005,April,Utilities,Variable,1659,1538.73
P005,April,Entertainment,Variable,1950,1966.16
P005,May,Salary,Fixed,40000,40000.0
P005,May,Rent,Fixed,20000,20000.0
P005,May,Groceries,Random,4297,4088.98
P005,May,Freelance,Variable,2051,1917.67
P005,May,Utilities,Variable,1411,1426.58
P005,May,Entertainment,Variable,1859,1770.08
P005,June,Salary,Fixed,40000,40000.0
P005,June,Rent,Fixed,20000,20000.0
P005,June,Groceries,Random,4896,4497.57
P005,June,Freelance,Variable,1939,1961.61
P005,June,Utilities,Variable,1459,1497.84
P005,June,Entertainment,Variable,1808,1728.04
P006,January,Salary,Fixed,40000,40000.0
P006,January,Rent,Fixed,20000,20000.0
P006,January,Groceries,Random,4658,4868.5
P006,January,Freelance,Variable,1930,2067.54
P006,January,Utilities,Variable,1353,1428.73
P006,January,Entertainment,Variable,1915,1755.73
P006,February,Salary,Fixed,40000,40000.0
P006,February,Rent,Fixed,20000,20000.0
P006,February,Groceries,Random,4967,5250.46
P006,February,Freelance,Variable,1903,1943.51
P006,February,Utilities,Variable,1526,1487.02
P006,February,Entertainment,Variable,1898,2077.8
P006,March,Salary,Fixed,40000,40000.0
P006,March,Rent,Fixed,20000,20000.0
P006,March,Groceries,Random,4913,4579.71
P006,March,Freelance,Variable,2137,2130.85
P006,March,Utilities,Variable,1462,1506.43
P006,March,Entertainment,Variable,1968,1840.44
P006,April,Salary,Fixed,40000,40000.0
P006,April,Rent,Fixed,20000,20000.0
P006,April,Groceries,Random,4579,4338.37
P006,April,Freelance,Variable,2076,1942.65
P006,April,Utilities,Variable,1683,1765.19
P006,April,Entertainment,Variable,1994,2056.86
P006,May,Salary,Fixed,40000,40000.0
P006,May,Rent,Fixed,20000,20000.0
P006,May,Groceries,Random,4032,4066.3
P006,May,Freelance,Variable,2170,2229.17
P006,May,Utilities,Variable,1321,1253.36
P006,May,Entertainment,Variable,1837,2012.95
P006,June,Salary,Fixed,40000,40000.0
P006,June,Rent,Fixed,20000,20000.0
P006,June,Groceries,Random,4562,4919.7
P006,June,Freelance,Variable,2082,2054.68
P006,June,Utilities,Variable,1576,1576.83
P006,June,Entertainment,Variable,2083,2153.37
P007,January,Salary,Fixed,40000,40000.0
P007,January,Rent,Fixed,20000,20000.0
P007,January,Groceries,Random,4480,4206.94
P007,January,Freelance,Variable,2116,2115.66
P007,January,Utilities,Variable,1303,1179.04
P007,January,Entertainment,Variable,1848,1679.32
P007,February,Salary,Fixed,40000,40000.0
P007,February,Rent,Fixed,20000,20000.0
P007,February,Groceries,Random,4171,4538.43
P007,February,Freelance,Variable,1845,1998.08
P007,February,Utilities,Variable,1398,1467.26
P007,February,Entertainment,Variable,1836,1993.28
P007,March,Salary,Fixed,40000,40000.0
P007,March,Rent,Fixed,20000,20000.0
P007,March,Groceries,Random,4496,4543.45
P007,March,Freelance,Variable,1894,2069.62
P007,March,Utilities,Variable,1415,1356.83
P007,March,Entertainment,Variable,1960,1888.23
P007,April,Salary,Fixed,40000,40000.0
P007,April,Rent,Fixed,20000,20000.0
P007,April,Groceries,Random,4127,4021.92
P007,April,Freelance,Variable,2022,2161.2
P007,April,Utilities,Variable,1622,1644.73
P007,April,Entertainment,Variable,2079,1957.97
P007,May,Salary,Fixed,40000,40000.0
P007,May,Rent,Fixed,20000,20000.0
P007,May,Groceries,Random,4942,5426.37
P007,May,Freelance,Variable,1926,1933.06
P007,May,Utilities,Variable,1685,1625.2
P007,May,Entertainment,Variable,1903,1977.98
P007,June,Salary,Fixed,40000,40000.0
P007,June,Rent,Fixed,20000,20000.0
P007,June,Groceries,Random,4810,5010.97
P007,June,Freelance,Variable,1838,1762.12
P007,June,Utilities,Variable,1546,1521.2
P007,June,Entertainment,Variable,2105,2259.54
P008,January,Salary,Fixed,40000,40000.0
P008,January,Rent,Fixed,20000,20000.0
P008,January,Groceries,Random,4524,4145.43
P008,January,Freelance,Variable,2190,2190.66
P008,January,Utilities,Variable,1472,1381.99
P008,January,Entertainment,Variable,2063,2146.33
P008,February,Salary,Fixed,40000,40000.0
P008,February,Rent,Fixed,20000,20000.0
P008,February,Groceries,Random,4399,4003.77
P008,February,Freelance,Variable,2170,2099.69
P008,February,Utilities,Variable,1391,1412.94
P008,February,Entertainment,Variable,2087,2119.67
P008,March,Salary,Fixed,40000,40000.0
P008,March,Rent,Fixed,20000,20000.0
P008,March,Groceries,Random,4853,4686.2
P008,March,Freelance,Variable,1985,2001.93
P008,March,Utilities,Variable,1424,1520.53
P008,March,Entertainment,Variable,1857,1682.63
P008,April,Salary,Fixed,40000,40000.0
P008,April,Rent,Fixed,20000,20000.0
P008,April,Groceries,Random,4691,4258.33
P008,April,Freelance,Variable,2070,2012.12
P008,April,Utilities,Variable,1400,1406.23
P008,April,Entertainment,Variable,1852,1767.38
P008,May,Salary,Fixed,40000,40000.0
P008,May,Rent,Fixed,20000,20000.0
P008,May,Groceries,Random,4619,4732.53
P008,May,Freelance,Variable,1995,2131.47
P008,May,Utilities,Variable,1671,1641.37
P008,May,Entertainment,Variable,2154,2213.2
P008,June,Salary,Fixed,40000,40000.0
P008,June,Rent,Fixed,20000,20000.0
P008,June,Groceries,Random,4819,4465.04
P008,June,Freelance,Variable,2169,2176.07
P008,June,Utilities,Variable,1457,1323.27
P008,June,Entertainment,Variable,1919,1831.05
P009,January,Salary,Fixed,40000,40000.0
P009,January,Rent,Fixed,20000,20000.0
P009,January,Groceries,Random,4603,4827.67
P009,January,Freelance,Variable,2145,1941.38
P009,January,Utilities,Variable,1416,1297.3
P009,January,Entertainment,Variable,1926,2001.49
P009,February,Salary,Fixed,40000,40000.0
P009,February,Rent,Fixed,20000,20000.0
P009,February,Groceries,Random,4640,4336.82
P009,February,Freelance,Variable,1800,1779.25
P009,February,Utilities,Variable,1395,1408.73
P009,February,Entertainment,Variable,1847,1729.85
P009,March,Salary,Fixed,40000,40000.0
P009,March,Rent,Fixed,20000,20000.0
P009,March,Groceries,Random,4236,4049.56
P009,March,Freelance,Variable,2071,2077.92
P009,March,Utilities,Variable,1491,1507.21
P009,March,Entertainment,Variable,2077,2172.56
P009,April,Salary,Fixed,40000,40000.0
P009,April,Rent,Fixed,20000,20000.0
P009,April,Groceries,Random,4962,4711.65
P009,April,Freelance,Variable,1943,1810.35
P009,April,Utilities,Variable,1385,1250.49
P009,April,Entertainment,Variable,2019,1835.68
P009,May,Salary,Fixed,40000,40000.0
P009,May,Rent,Fixed,20000,20000.0
P009,May,Groceries,Random,4093,4383.98
P009,May,Freelance,Variable,2003,1809.57
P009,May,Utilities,Variable,1640,1631.3
P009,May,Entertainment,Variable,2088,2073.25
P009,June,Salary,Fixed,40000,40000.0
P009,June,Rent,Fixed,20000,20000.0
P009,June,Groceries,Random,4356,4267.58
P009,June,Freelance,Variable,1809,1971.5
P009,June,Utilities,Variable,1399,1271.78
P009,June,Entertainment,Variable,2022,1825.99
P010,January,Salary,Fixed,40000,40000.0
P010,January,Rent,Fixed,20000,20000.0
P010,January,Groceries,Random,4658,4660.92
P010,January,Freelance,Variable,2056,2072.19
P010,January,Utilities,Variable,1303,1333.19
P010,January,Entertainment,Variable,2135,2195.81
P010,February,Salary,Fixed,40000,40000.0
P010,February,Rent,Fixed,20000,20000.0
P010,February,Groceries,Random,4496,4826.19
P010,February,Freelance,Variable,1959,2131.48
P010,February,Utilities,Variable,1451,1502.41
P010,February,Entertainment,Variable,1962,2018.23
P010,March,Salary,Fixed,40000,40000.0
P010,March,Rent,Fixed,20000,20000.0
P010,March,Groceries,Random,4928,5234.72
P010,March,Freelance,Variable,1900,1947.86
P010,March,Utilities,Variable,1364,1489.81
P010,March,Entertainment,Variable,2129,2004.11
P010,April,Salary,Fixed,40000,40000.0
P010,April,Rent,Fixed,20000,20000.0
P010,April,Groceries,Random,4284,3915.03
P010,April,Freelance,Variable,1894,1847.51
P010,April,Utilities,Variable,1552,1426.12
P010,April,Entertainment,Variable,1834,1774.05
P010,May,Salary,Fixed,40000,40000.0
P010,May,Rent,Fixed,20000,20000.0
P010,May,Groceries,Random,4089,3940.96
P010,May,Freelance,Variable,1889,1828.79
P010,May,Utilities,Variable,1414,1352.31
P010,May,Entertainment,Variable,1995,2071.96
P010,June,Salary,Fixed,40000,40000.0
P010,June,Rent,Fixed,20000,20000.0
P010,June,Groceries,Random,4625,4744.27
P010,June,Freelance,Variable,2175,2277.26
P010,June,Utilities,Variable,1576,1723.38
P010,June,Entertainment,Variable,1963,1836.36
P011,January,Salary,Fixed,40000,40000.0
P011,January,Rent,Fixed,20000,20000.0
P011,January,Groceries,Random,4456,4517.07
P011,January,Freelance,Variable,2026,2224.75
P011,January,Utilities,Variable,1335,1300.83
P011,January,Entertainment,Variable,1895,1834.66
P011,February,Salary,Fixed,40000,40000.0
P011,February,Rent,Fixed,20000,20000.0
P011,February,Groceries,Random,4189,4240.83
P011,February,Freelance,Variable,2067,2037.65
P011,February,Utilities,Variable,1312,1374.95
P011,February,Entertainment,Variable,2154,1983.03
P011,March,Salary,Fixed,40000,40000.0
P011,March,Rent,Fixed,20000,20000.0
P011,March,Groceries,Random,4272,4301.33
P011,March,Freelance,Variable,1883,2005.94
P011,March,Utilities,Variable,1641,1574.58
P011,March,Entertainment,Variable,1818,1777.71
P011,April,Salary,Fixed,40000,40000.0
P011,April,Rent,Fixed,20000,20000.0
P011,April,Groceries,Random,4395,4798.06
P011,April,Freelance,Variable,1875,1820.59
P011,April,Utilities,Variable,1583,1725.49
P011,April,Entertainment,Variable,2183,2175.37
P011,May,Salary,Fixed,40000,40000.0
P011,May,Rent,Fixed,20000,20000.0
P011,May,Groceries,Random,4505,4623.79
P011,May,Freelance,Variable,2172,1994.64
P011,May,Utilities,Variable,1695,1636.92
P011,May,Entertainment,Variable,2178,2052.86
P011,June,Salary,Fixed,40000,40000.0
P011,June,Rent,Fixed,20000,20000.0
P011,June,Groceries,Random,4564,4830.15
P011,June,Freelance,Variable,1856,1712.52
P011,June,Utilities,Variable,1480,1478.35
P011,June,Entertainment,Variable,2197,2218.76
P012,January,Salary,Fixed,40000,40000.0
P012,January,Rent,Fixed,20000,20000.0
P012,January,Groceries,Random,4132,4327.89
P012,January,Freelance,Variable,2020,1959.77
P012,January,Utilities,Variable,1445,1580.44
P012,January,Entertainment,Variable,1808,1902.56
P012,February,Salary,Fixed,40000,40000.0
P012,February,Rent,Fixed,20000,20000.0
P012,February,Groceries,Random,4491,4820.52
P012,February,Freelance,Variable,2029,1860.23
P012,February,Utilities,Variable,1440,1360.1
P012,February,Entertainment,Variable,2192,2333.1
P012,March,Salary,Fixed,40000,40000.0
P012,March,Rent,Fixed,20000,20000.0
P012,March,Groceries,Random,4633,4305.54
P012,March,Freelance,Variable,1828,1676.22
P012,March,Utilities,Variable,1638,1664.64
P012,March,Entertainment,Variable,2164,2108.01
P012,April,Salary,Fixed,40000,40000.0
P012,April,Rent,Fixed,20000,20000.0
P012,April,Groceries,Random,4499,4262.07
P012,April,Freelance,Variable,2126,2332.65
P012,April,Utilities,Variable,1431,1388.13
P012,April,Entertainment,Variable,2051,1880.15
P012,May,Salary,Fixed,40000,40000.0
P012,May,Rent,Fixed,20000,20000.0
P012,May,Groceries,Random,4444,4335.56
P012,May,Freelance,Variable,1966,1936.2
P012,May,Utilities,Variable,1645,1589.15
P012,May,Entertainment,Variable,1925,1922.16
P012,June,Salary,Fixed,40000,40000.0
P012,June,Rent,Fixed,20000,20000.0
P012,June,Groceries,Random,4652,4563.8
P012,June,Freelance,Variable,1925,1754.18
P012,June,Utilities,Variable,1616,1720.33
P012,June,Entertainment,Variable,1800,1865.17
P013,January,Salary,Fixed,40000,40000.0
P013,January,Rent,Fixed,20000,20000.0
P013,January,Groceries,Random,4347,4748.81
P013,January,Freelance,Variable,1990,1981.13
P013,January,Utilities,Variable,1611,1620.14
P013,January,Entertainment,Variable,1916,2093.51
P013,February,Salary,Fixed,40000,40000.0
P013,February,Rent,Fixed,20000,20000.0
P013,February,Groceries,Random,4555,4990.37
P013,February,Freelance,Variable,1972,1791.82
P013,February,Utilities,Variable,1448,1315.77
P013,February,Entertainment,Variable,2012,2210.37
P013,March,Salary,Fixed,40000,40000.0
P013,March,Rent,Fixed,20000,20000.0
P013,March,Groceries,Random,4228,4019.13
P013,March,Freelance,Variable,1946,2128.65
P013,March,Utilities,Variable,1346,1380.83
P013,March,Entertainment,Variable,1813,1738.48
P013,April,Salary,Fixed,40000,40000.0
P013,April,Rent,Fixed,20000,20000.0
P013,April,Groceries,Random,4512,4627.11
P013,April,Freelance,Variable,2173,2122.67
P013,April,Utilities,Variable,1311,1431.27
P013,April,Entertainment,Variable,2071,2232.65
P013,May,Salary,Fixed,40000,40000.0
P013,May,Rent,Fixed,20000,20000.0
P013,May,Groceries,Random,4971,4580.04
P013,May,Freelance,Variable,2172,2075.29
P013,May,Utilities,Variable,1647,1695.37
P013,May,Entertainment,Variable,1935,1878.25
P013,June,Salary,Fixed,40000,40000.0
P013,June,Rent,Fixed,20000,20000.0
P013,June,Groceries,Random,4177,3981.46
P013,June,Freelance,Variable,2156,2360.56
P013,June,Utilities,Variable,1491,1477.06
P013,June,Entertainment,Variable,1944,1858.37
P014,January,Salary,Fixed,40000,40000.0
P014,January,Rent,Fixed,20000,20000.0
P014,January,Groceries,Random,4723,4820.09
P014,January,Freelance,Variable,2039,1901.42
P014,January,Utilities,Variable,1345,1231.0
P014,January,Entertainment,Variable,2189,2385.92
P014,February,Salary,Fixed,40000,40000.0
P014,February,Rent,Fixed,20000,20000.0
P014,February,Groceries,Random,4255,4324.07
P014,February,Freelance,Variable,1809,1965.56
P014,February,Utilities,Variable,1541,1556.9
P014,February,Entertainment,Variable,1804,1633.11
P014,March,Salary,Fixed,40000,40000.0
P014,March,Rent,Fixed,20000,20000.0
P014,March,Groceries,Random,4800,5066.5
P014,March,Freelance,Variable,1945,2134.55
P014,March,Utilities,Variable,1476,1439.61
P014,March,Entertainment,Variable,2081,2031.43
P014,April,Salary,Fixed,40000,40000.0
P014,April,Rent,Fixed,20000,20000.0
P014,April,Groceries,Random,4853,5172.49
P014,April,Freelance,Variable,1976,2109.71
P014,April,Utilities,Variable,1397,1267.59
P014,April,Entertainment,Variable,2184,1971.57
P014,May,Salary,Fixed,40000,40000.0
P014,May,Rent,Fixed,20000,20000.0
P014,May,Groceries,Random,4822,5173.74
P014,May,Freelance,Variable,1996,2195.49
P014,May,Utilities,Variable,1657,1793.92
P014,May,Entertainment,Variable,1822,1920.02
P014,June,Salary,Fixed,40000,40000.0
P014,June,Rent,Fixed,20000,20000.0
P014,June,Groceries,Random,4676,4916.42
P014,June,Freelance,Variable,1882,1786.9
P014,June,Utilities,Variable,1377,1295.77
P014,June,Entertainment,Variable,1800,1963.46
P015,January,Salary,Fixed,40000,40000.0
P015,January,Rent,Fixed,20000,20000.0
P015,January,Groceries,Random,4716,4439.86
P015,January,Freelance,Variable,2168,2279.43
P015,January,Utilities,Variable,1333,1295.19
P015,January,Entertainment,Variable,1871,1692.2
P015,February,Salary,Fixed,40000,40000.0
P015,February,Rent,Fixed,20000,20000.0
P015,February,Groceries,Random,4249,4266.26
P015,February,Freelance,Variable,1917,2044.05
P015,February,Utilities,Variable,1605,1718.05
P015,February,Entertainment,Variable,1853,2026.43
P015,March,Salary,Fixed,40000,40000.0
P015,March,Rent,Fixed,20000,20000.0
P015,March,Groceries,Random,4989,5364.82
P015,March,Freelance,Variable,2112,2150.0
P015,March,Utilities,Variable,1554,1407.55
P015,March,Entertainment,Variable,2006,2120.21
P015,April,Salary,Fixed,40000,40000.0
P015,April,Rent,Fixed,20000,20000.0
P015,April,Groceries,Random,4909,5109.37
P015,April,Freelance,Variable,1902,1763.68
P015,April,Utilities,Variable,1551,1700.04
P015,April,Entertainment,Variable,2105,2142.86
P015,May,Salary,Fixed,40000,40000.0
P015,May,Rent,Fixed,20000,20000.0
P015,May,Groceries,Random,4797,4849.59
P015,May,Freelance,Variable,2107,2126.99
P015,May,Utilities,Variable,1634,1600.19
P015,May,Entertainment,Variable,2046,2055.66
P015,June,Salary,Fixed,40000,40000.0
P015,June,Rent,Fixed,20000,20000.0
P015,June,Groceries,Random,4080,4446.81
P015,June,Freelance,Variable,2187,2169.22
P015,June,Utilities,Variable,1700,1697.32
P015,June,Entertainment,Variable,2139,2121.52
P016,January,Salary,Fixed,40000,40000.0
P016,January,Rent,Fixed,20000,20000.0
P016,January,Groceries,Random,4545,4654.81
P016,January,Freelance,Variable,2004,1887.42
P016,January,Utilities,Variable,1342,1272.26
P016,January,Entertainment,Variable,2170,2186.17
P016,February,Salary,Fixed,40000,40000.0
P016,February,Rent,Fixed,20000,20000.0
P016,February,Groceries,Random,4662,4315.19
P016,February,Freelance,Variable,1894,1856.23
P016,February,Utilities,Variable,1699,1746.87
P016,February,Entertainment,Variable,2159,2243.85
P016,March,Salary,Fixed,40000,40000.0
P016,March,Rent,Fixed,20000,20000.0
P016,March,Groceries,Random,4280,4619.65
P016,March,Freelance,Variable,1994,2000.08
P016,March,Utilities,Variable,1459,1363.38
P016,March,Entertainment,Variable,1921,1814.9
P016,April,Salary,Fixed,40000,40000.0
P016,April,Rent,Fixed,20000,20000.0
P016,April,Groceries,Random,4788,4470.97
P016,April,Freelance,Variable,1891,1833.37
P016,April,Utilities,Variable,1321,1212.34
P016,April,Entertainment,Variable,1800,1812.39
P016,May,Salary,Fixed,40000,40000.0
P016,May,Rent,Fixed,20000,20000.0
P016,May,Groceries,Random,4523,4257.35
P016,May,Freelance,Variable,1833,1696.9
P016,May,Utilities,Variable,1517,1574.77
P016,May,Entertainment,Variable,1872,1719.35
P016,June,Salary,Fixed,40000,40000.0
P016,June,Rent,Fixed,20000,20000.0
P016,June,Groceries,Random,4046,4149.5
P016,June,Freelance,Variable,2038,2042.75
P016,June,Utilities,Variable,1406,1524.35
P016,June,Entertainment,Variable,1860,1674.97
P017,January,Salary,Fixed,40000,40000.0
P017,January,Rent,Fixed,20000,20000.0
P017,January,Groceries,Random,4803,5097.14
P017,January,Freelance,Variable,1912,1949.2
P017,January,Utilities,Variable,1479,1393.03
P017,January,Entertainment,Variable,1926,2089.34
P017,February,Salary,Fixed,40000,40000.0
P017,February,Rent,Fixed,20000,20000.0
P017,February,Groceries,Random,4525,4632.02
P017,February,Freelance,Variable,1877,1862.94
P017,February,Utilities,Variable,1664,1518.35
P017,February,Entertainment,Variable,1986,1887.67
P017,March,Salary,Fixed,40000,40000.0
P017,March,Rent,Fixed,20000,20000.0
P017,March,Groceries,Random,4006,4155.96
P017,March,Freelance,Variable,2037,2138.69
P017,March,Utilities,Variable,1573,1556.46
P017,March,Entertainment,Variable,2026,1984.33
P017,April,Salary,Fixed,40000,40000.0
P017,April,Rent,Fixed,20000,20000.0
P017,April,Groceries,Random,4191,3997.58
P017,April,Freelance,Variable,1827,1651.63
P017,April,Utilities,Variable,1572,1481.28
P017,April,Entertainment,Variable,1925,1778.61
P017,May,Salary,Fixed,40000,40000.0
P017,May,Rent,Fixed,20000,20000.0
P017,May,Groceries,Random,4144,4013.82
P017,May,Freelance,Variable,1824,1889.34
P017,May,Utilities,Variable,1366,1406.66
P017,May,Entertainment,Variable,1945,1784.31
P017,June,Salary,Fixed,40000,40000.0
P017,June,Rent,Fixed,20000,20000.0
P017,June,Groceries,Random,4110,4304.67
P017,June,Freelance,Variable,1910,2003.76
P017,June,Utilities,Variable,1668,1689.5
P017,June,Entertainment,Variable,1841,1761.39
P018,January,Salary,Fixed,40000,40000.0
P018,January,Rent,Fixed,20000,20000.0
P018,January,Groceries,Random,4517,4878.04
P018,January,Freelance,Variable,2119,2149.0
P018,January,Utilities,Variable,1614,1771.05
P018,January,Entertainment,Variable,2028,2203.91
P018,February,Salary,Fixed,40000,40000.0
P018,February,Rent,Fixed,20000,20000.0
P018,February,Groceries,Random,4436,4082.7
P018,February,Freelance,Variable,1997,1943.22
P018,February,Utilities,Variable,1411,1315.24
P018,February,Entertainment,Variable,2130,1954.44
P018,March,Salary,Fixed,40000,40000.0
P018,March,Rent,Fixed,20000,20000.0
P018,March,Groceries,Random,4349,4064.9
P018,March,Freelance,Variable,2110,2254.46
P018,March,Utilities,Variable,1686,1694.27
P018,March,Entertainment,Variable,1839,1911.44
P018,April,Salary,Fixed,40000,40000.0
P018,April,Rent,Fixed,20000,20000.0
P018,April,Groceries,Random,4919,4537.32
